Brand,Category,Frame Size,Frame Price Factor to Medium,Qty,Price,Frame Material,Weight(KG),Suspension,Group Sets,Tire Width
Trek,Road,L,1.1,6,1299,Aluminum,7.7,,Shimano,25
Trek,Road,XL,1.2,4,1299,Aluminum,8.1,,Shimano,25
Trek,Road,M,1,8,1299,Aluminum,7.5,,Shimano,25
Trek,Road,S,0.9,2,1299,Aluminum,7.2,,Shimano,25
Trek,Mountain,XL,1.4,4,1599,Carbon,10.5,Dual Link,,2.4
Trek,Mountain,M,1,2,1599,Carbon,9.6,Dual Link,,2.4
Specialized,Road,S,1.3,6,999,Aluminum,7.7,,Shimano,28
Specialized,Road,M,1,4,999,Aluminum,8.1,,Shimano,28
Specialized,Road,L,1,8,999,Aluminum,7.5,,Shimano,28
Specialized,Road,XL,1.2,2,999,Aluminum,7.2,,Shimano,28
Specialized,Mountain,S,0.9,3,799,Aluminum,8.8,Dual Link,,2.2
Specialized,Mountain,M,1,2,799,Aluminum,9.4,Dual Link,,2.2
Specialized,Mountain,L,1.3,6,799,Aluminum,10,Dual Link,,2.2
Cervelo,Road,M,1,3,1899,Carbon,7.3,,Campagnolo,28
Cervelo,Road,L,1.6,5,1899,Carbon,7.7,,Campagnolo,28
Trek,Mountain,S,0.7,3,1599,Carbon,8.8,Dual Link,,2.4
Giant,Mountain,S,0.85,10,699,Aluminum,9.2,Single-Piviot,,2.2
Giant,Mountain,M,1,6,699,Aluminum,9.6,Single-Piviot,,2.2
Giant,Mountain,L,1.2,4,699,Aluminum,10.2,Single-Piviot,,2.2
Cannondale,Road,S,0.7,5,2340,Carbon,6.9,,SRAM,28
Cannondale,Road,M,1,4,2340,Carbon,7.2,,SRAM,28
Cannondale,Road,XL,2,2,2340,Carbon,7.5,,SRAM,28
